Price,DXY,Returns,MA_50,MA_200
Ticker,DX-Y.NYB,,,
Date,,,,
2013-05-13,83.26000213623047,0.0014433816149026502,82.54820022583007,81.01305004119872
2013-05-14,83.56999969482422,0.0037232470650976346,82.5752001953125,81.01330005645752
2013-05-15,83.83000183105469,0.0031111898669371474,82.61000030517579,81.01840007781982
2013-05-16,83.7699966430664,-0.0007157960954028431,82.63620025634765,81.02370006561279
2013-05-17,84.27999877929688,0.00608812410967996,82.6802001953125,81.03115005493164
2013-05-20,83.80999755859375,-0.005576663829029105,82.70240020751953,81.03700004577637
2013-05-21,83.86000061035156,0.0005966239495813763,82.72820022583008,81.04100006103516
2013-05-22,84.25,0.004650600844382735,82.76160018920899,81.04560005187989
2013-05-23,83.80000305175781,-0.005341210068156577,82.77980026245118,81.05270008087159
2013-05-24,83.69999694824219,-0.0011933902132897911,82.80160018920898,81.05985008239746
2013-05-28,84.13999938964844,0.005256899133202264,82.83920013427735,81.06950008392334
2013-05-29,83.63999938964844,-0.0059424768674470885,82.85820007324219,81.07575008392334
2013-05-30,83.01000213623047,-0.007532248421990517,82.8586001586914,81.07760009765624
2013-05-31,83.37999725341797,0.004457235365206813,82.87060012817383,81.08175006866455
2013-06-03,82.68000030517578,-0.008395262308712681,82.86820007324219,81.0829500579834
2013-06-04,82.7699966430664,0.0010884898108181051,82.87300003051757,81.08440002441407
2013-06-05,82.56999969482422,-0.002416297648345278,82.86699996948242,81.0840000152588
2013-06-06,81.5199966430664,-0.012716519990778608,82.83979995727539,81.07979999542236
2013-06-07,81.69000244140625,0.0020854490350903365,82.80940002441406,81.07525001525879
2013-06-10,81.6500015258789,-0.0004896672093508414,82.78260009765626,81.07120002746582
2013-06-11,81.05999755859375,-0.007226012936425441,82.74919998168946,81.06694999694824
2013-06-12,80.95999908447266,-0.0012336352964827935,82.70959991455078,81.06430000305176
2013-06-13,80.62000274658203,-0.004199559557008903,82.66759994506836,81.06060001373291
2013-06-14,80.66999816894531,0.0006201366988343171,82.62739990234375,81.05600002288818
2013-06-17,80.56999969482422,-0.0012395993106590897,82.58879989624023,81.05055000305175
2013-06-18,80.62000274658203,0.0006206162584982966,82.54619995117187,81.04680000305176
2013-06-19,81.43000030517578,0.010047104080855407,82.52860000610352,81.04619998931885
2013-06-20,81.83999633789062,0.005034950646915171,82.51479995727539,81.04699996948243
2013-06-21,82.31999969482422,0.005865143919995042,82.51619995117187,81.05234996795654
2013-06-24,82.43000030517578,0.0013362562045597937,82.51860000610351,81.0578999710083
2013-06-25,82.58000183105469,0.0018197443324465823,82.52180007934571,81.06459999084473
2013-06-26,82.94999694824219,0.004480444526320682,82.54580001831054,81.07394996643066
2013-06-27,82.91000366210938,-0.00048213728275081635,82.55080001831055,81.0872499847412
2013-06-28,83.16999816894531,0.0031358641340255566,82.5631999206543,81.10129997253418
2013-07-01,82.9800033569336,-0.0022844152482217606,82.56860000610351,81.11689998626709
2013-07-02,83.54000091552734,0.006748584429250526,82.58580001831055,81.13590000152588
2013-07-03,83.2300033569336,-0.003710767957821881,82.58980010986328,81.1557500076294
2013-07-05,84.41999816894531,0.014297666274365017,82.61960006713868,81.18360000610352
2013-07-08,84.19999694824219,-0.0026060320477956367,82.64880004882812,81.20954998016357
2013-07-09,84.58000183105469,0.004513122287238103,82.69080001831054,81.23619998931885
2013-07-10,84.04000091552734,-0.006384498744821165,82.72860000610352,81.26110000610352
2013-07-11,82.75,-0.01534984413938767,82.74899993896484,81.27779998779297
2013-07-12,82.98999786376953,0.0029002762993297626,82.77599990844726,81.29609996795654
2013-07-15,83.04000091552734,0.0006025190148803983,82.79259994506836,81.31369998931885
2013-07-16,82.43000030517578,-0.007345864687213655,82.79919998168945,81.32809997558594
2013-07-17,82.70999908447266,0.0033968067240113253,82.80699996948242,81.34219997406007
2013-07-18,82.81999969482422,0.0013299554052614848,82.81739990234375,81.35854995727539
2013-07-19,82.58000183105469,-0.0028978249777091847,82.83099990844727,81.37174995422363
2013-07-22,82.22000122070312,-0.00435941635225523,82.81959991455078,81.38374996185303
2013-07-23,82.01000213623047,-0.002554111911394319,82.79699996948243,81.39509998321533
2013-07-24,82.30000305175781,0.0035361651990402088,82.77779998779297,81.4067499923706
2013-07-25,81.97000122070312,-0.004009742634482727,82.74580001831055,81.41985000610352
2013-07-26,81.62000274658203,-0.004269836146259531,82.70160003662109,81.43125003814697
2013-07-29,81.66000366210938,0.0004900871622308678,82.65940017700196,81.44185005187988
2013-07-30,81.83000183105469,0.002081780079862927,82.61040023803712,81.45125007629395
2013-07-31,81.44999694824219,-0.004643833243423989,82.56320022583007,81.45890007019042
2013-08-01,82.33999633789062,0.010926941964331638,82.53280014038086,81.4717000579834
2013-08-02,81.91000366210938,-0.005222160491928252,82.48600021362304,81.48280006408692
2013-08-05,81.87999725341797,-0.00036633387070994505,82.44760009765625,81.49350006103515
2013-08-06,81.5999984741211,-0.0034196237016261843,82.40560012817383,81.50465003967285
2013-08-07,81.29000091552734,-0.003798989759688065,82.34860015869141,81.51600006103516
2013-08-08,81.01000213623047,-0.003444443057490365,82.29600021362305,81.52420005798339
2013-08-09,81.12999725341797,0.0014812382918556466,82.2584001159668,81.53165004730225
2013-08-12,81.33000183105469,0.0024652358487327053,82.21740020751953,81.54005004882812
2013-08-13,81.7300033569336,0.004918253004713158,82.19840026855469,81.54880004882813
2013-08-14,81.69999694824219,-0.0003671406761157625,82.1770002746582,81.55745002746582
2013-08-15,81.12999725341797,-0.006976740711328588,82.14820022583008,81.56290000915527
2013-08-16,81.26000213623047,0.0016024268114593898,82.14300033569336,81.56885002136231
2013-08-19,81.2300033569336,-0.0003691702991415191,82.13380035400391,81.57540004730225
2013-08-20,80.91000366210938,-0.003939427324877842,82.11900039672851,81.579700050354
2013-08-21,81.31999969482422,0.0050673095310567184,82.12420043945312,81.58335006713867
2013-08-22,81.48999786376953,0.0020904841316191636,82.13480041503907,81.58705005645751
2013-08-23,81.33999633789062,-0.0018407354253422437,82.14920028686524,81.59070003509521
2013-08-26,81.37000274658203,0.000368901033223068,82.16320037841797,81.59375003814698
2013-08-27,81.16999816894531,-0.0024579644941098433,82.17520034790039,81.59565002441406
2013-08-28,81.41999816894531,0.0030799557181171444,82.19120025634766,81.59760002136231
2013-08-29,81.94999694824219,0.00650944228956063,82.20160018920899,81.60215000152589
2013-08-30,82.08999633789062,0.001708351371103367,82.20660018920898,81.60719997406005
2013-09-03,82.36000061035156,0.003289125161482165,82.20740020751953,81.61369998931885
2013-09-04,82.16999816894531,-0.0023069747449998568,82.20220016479492,81.6191499710083
2013-09-05,82.62999725341797,0.005598139159342264,82.20320007324219,81.62599994659423
2013-09-06,82.1500015258789,-0.005808976685149347,82.18720016479492,81.63239994049073
2013-09-09,81.79000091552734,-0.00438223498070367,82.16480010986328,81.636549949646
2013-09-10,81.81999969482422,0.0003667780775287177,82.13780014038086,81.64099994659423
